Reference, Quantity, Value, Footprint, Datasheet, MPN, Conrad_PN, DigiKeyPN, Voltage, ConradPN, Link, On-Hand, Label
"AFF201, AFF202, AFF203, AFF204, ", 4,NKR161B, ClockFootprints:161_163_Series_extended, ,"NKR161B",,,,"1050566 - 62","http://www.digikey.de/product-search/en?pv311=29&FV=fff40008%2Cfff80024%2C940001%2C980009%2C10c0001%2C3440002%2C4dc0005%2C4dc001d%2C4dc0043%2C4dc0044%2C4dc005c%2C4dc0068%2C4dc006a%2C4dc0073%2C4dc007d%2C4dc0080%2C4dc008a&k=LED&mnonly=0&newproducts=0&ColumnSort=0&page=1&stock=1&quantity=0&ptm=0&fid=0&pageSize=100",,"Value"
"C101, ", 1,0.1u, Capacitors_SMD:C_0805, 
"D201, ", 1,Colon1, LEDs:LED-0805, ,"Value",,,,"Value",,,
"D202, ", 1,Colon2, LEDs:LED-0805, ,"Value",,,,"Value",,,
"D203, ", 1,Alarm, LEDs:LED-0805, ,"Value",,,,"Value",,,
"D204, ", 1,Auto, LEDs:LED-0805, ,"Value",,,,"Value",,,
"IC1, ", 1,ATMEGA88PA-A, Housings_QFP:LQFP-32_7x7mm_Pitch0.8mm, 
"P101, ", 1,CONN_02X03, Pin_Headers:Pin_Header_Straight_2x03, ,"WS6G"," 741435 - 62 ",,,,,,
"P102, P202, P204, ", 3,CONN_01X07, Pin_Headers:Pin_Header_Straight_1x07, ,,,"Value","Value","Value","Value","No",
"P201, P203, ", 2,CONN_01X06, Pin_Headers:Pin_Header_Straight_1x06, 
"Q201, Q202, Q203, ", 3,BC856BS, ClockFootprints:SOT-363, ,"BC856BS",,,,,,,
"R101, ", 1,10K, Resistors_SMD:R_0805, 
"R102, R103, R104, R106, ", 4,1K, Resistors_SMD:R_0805, 
"R105, R201, R202, R203, R204, ", 5,0, Resistors_SMD:R_0805, 
"R205, R206, R207, R208, R209, R210, ", 6,500, Resistors_SMD:R_0805, 
"R211, R212, R213, R214, R215, R216, R217, ", 7,160, Resistors_SMD:R_0805, 
"SW101, ", 1,TL3315NF160Q, ClockFootprints:PTS525SM15SMTR2LFS, 
"U201, ", 1,SN74LS138, ClockFootprints:SOIC-16, ,"SN74LS138NSR",,,,,,,
"U202, ", 1,74HC4511, ClockFootprints:SOIC-16, ,"CD4511BNSR",,,,,,,
